ENG INSTRU:
qwen:
Alaksi srak, ma frapo? | Are you ready, everyone?
Am’aluke snayaytx Sawtute, yayora’ Na’vi. | The Sky People’s technology is far superior to Na’vi.
Awnga kelku si nuä ayram alusìng. | We live in a village surrounded by trees.
Ayfo solop ìlä hilvan fa uran. | They swim in the river every day.
Aylì’fya yawne leru oer takrra ’eveng lamu. | I love the language that the children speak.

llama:
Alaksi srak, ma frapo? | Have you ever been to the forest, but not seen the forest?
Am’aluke snayaytx Sawtute, yayora’ Na’vi. | I'm glad to see Sawtute, the Na'vi language.
Awnga kelku si nuä ayram alusìng. | We live on the other side of the river.
Ayfo solop ìlä hilvan fa uran. | I will only talk to you in the language of the forest.
Aylì’fya yawne leru oer takrra ’eveng lamu. | I'm very happy that you're learning the language of the forest.
