Alaksi srak, ma frapo? | Are you ready, everyone?
Am’aluke snayaytx Sawtute, yayora’ Na’vi. | Without a doubt the Sky People will lose and the People will win.
Awnga kelku si nuä ayram alusìng. | We live beyond the flying mountains.
Ayfo solop ìlä hilvan fa uran. | They traveled along the river by boat.
Aylì’fya yawne leru oer takrra ’eveng lamu. | I’ve loved languages since I was a child.

Aylì’ufa awngeyä ’eylanä a’ewan. | In the words of our young friend.
Ayngari fìkem feyä ’e’ala topur kangay sìyi nì’aw. This will only confirm their worst fears about you.
Ayngengaru oheyä tsmukit alu Newey te Tskaha Sorewn’ite. | Allow me to introduce my sister, Newey te Tskaha Sorewn’ite.
Ayngeyä tìftusia ’o’ livu nì’aw! | May your studying be fun!

Ayoe ke wasyem. | We will not fight.
Eltu si! Tsatstal afwem lu litx nìtxan. | Pay attention! That blunt knife is very sharp.

Entul kan’ìn tìwusemit. | Entu specializes in fighting.
Eo ayoeng lu txana tìkawng. | A great evil is upon us.
Epxangmì lu ’upe?–Tìloho. | What’s in the stone jar?–It’s a surprise.
Eyawrfyari zene tslivam fya’ot a mìn kifkey. | To know the right way, you have to understand how the world turns.
Eyk Kamun a fralo längu tsasätaron velke nìwotx. | Every time Kamun is in charge, the hunt is a mess.
