Alaksi srak, ma frapo? | Are you ready, everyone?
Am’aluke snayaytx Sawtute, yayora’ Na’vi. | The Sky People’s technology is far superior to Na’vi.
Awnga kelku si nuä ayram alusìng. | We live in a village surrounded by trees.
Ayfo solop ìlä hilvan fa uran. | They swim in the river every day.
Aylì’fya yawne leru oer takrra ’eveng lamu. | I love the language that the children speak.

Entul kan’ìn tìwusemit. | He/She/They tricked me.  
Eo ayoeng lu txana tìkawng. | I must understand the people.  
Epxangmì lu ’upe?–Tìloho. | What's wrong with you?–Yes.  
Eyawrfyari zene tslivam fya’ot a mìn kifkey. | I must understand the way you speak.  
Eyk Kamun a fralo längu tsasätaron velke nìwotx. | They the Sky People come to hunt with the people.
